# eta = 0.5, tau = 0, delta = 0.1
# N = 256, D = 100, S = 121
# q_min = 3.8147e-07, q_max = 40
# h_initial = 1e-09, v_therm = 2.5	D0 = 0.00625
# Prefactor m(q->0) c = 0.000248591
# m(q->0) results stored in memory kernel array m_kernel[0][]
#t	m[0]	m[1]	m[2]	m[3]	m[4]	m[5]	m[6]	m[7]	m[8]	m[9]	m[10]	m[11]	m[12]	m[13]	m[14]	m[15]	m[16]	m[17]	m[18]	m[19]	m[20]	m[21]	m[22]	m[23]	m[24]	m[25]	m[26]	m[27]	m[28]	m[29]	m[30]	m[31]	m[32]	m[33]	m[34]	m[35]	m[36]	m[37]	m[38]	m[39]	m[40]	m[41]	m[42]	m[43]	m[44]	m[45]	m[46]	m[47]	m[48]	m[49]	m[50]	m[51]	m[52]	m[53]	m[54]	m[55]	m[56]	m[57]	m[58]	m[59]	m[60]	m[61]	m[62]	m[63]	m[64]	m[65]	m[66]	m[67]	m[68]	m[69]	m[70]	m[71]	m[72]	m[73]	m[74]	m[75]	m[76]	m[77]	m[78]	m[79]	m[80]	m[81]	m[82]	m[83]	m[84]	m[85]	m[86]	m[87]	m[88]	m[89]	m[90]	m[91]	m[92]	m[93]	m[94]	m[95]	m[96]	m[97]	m[98]	m[99]	m[100]	m[101]	m[102]	m[103]	m[104]	m[105]	m[106]	m[107]	m[108]	m[109]	m[110]	m[111]	m[112]	m[113]	m[114]	m[115]	m[116]	m[117]	m[118]	m[119]	m[120]
t	0	3.8147e-07	7.62939e-07	1.52588e-06	3.05176e-06	6.10352e-06	1.2207e-05	2.44141e-05	4.88281e-05	9.76563e-05	0.000195313	0.000390625	0.00078125	0.0015625	0.003125	0.00625	0.0125	0.025	0.05	0.1	0.2	0.4	0.8	1.2	1.6	2	2.4	2.8	3.2	3.6	4	4.4	4.8	5.2	5.6	6	6.4	6.8	7.2	7.6	8	8.4	8.8	9.2	9.6	10	10.4	10.8	11.2	11.6	12	12.4	12.8	13.2	13.6	14	14.4	14.8	15.2	15.6	16	16.4	16.8	17.2	17.6	18	18.4	18.8	19.2	19.6	20	20.4	20.8	21.2	21.6	22	22.4	22.8	23.2	23.6	24	24.4	24.8	25.2	25.6	26	26.4	26.8	27.2	27.6	28	28.4	28.8	29.2	29.6	30	30.4	30.8	31.2	31.6	32	32.4	32.8	33.2	33.6	34	34.4	34.8	35.2	35.6	36	36.4	36.8	37.2	37.6	38	38.4	38.8	39.2	39.6	40
1.28e-07	7.16135	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8058	14.8058	14.8093	14.808	14.8033	14.7865	14.7489	8.20928	6.86114	6.38362	6.18253	6.11351	6.134	6.23579	6.42906	6.74216	7.23224	8.01343	9.32694	11.7308	16.6577	27.7887	46.6335	41.4374	23.1265	14.3517	10.5789	8.80569	7.93163	7.53148	7.42609	7.53582	7.8214	8.24724	8.73825	9.12424	9.13047	8.5459	7.48042	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44218	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03736	2.76171	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74733	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979619	0.965117	0.95799	0.954028	0.94874	0.937776	0.917677	0.886847	0.846245	0.799189	0.750084	0.702633	0.659145	0.622575	0.595355	0.577171	0.566147	0.559867	0.555768	0.551316	0.544165	0.532443	0.515128	0.492391	0.465665	0.437321	0.410027	0.386051	0.366802	0.352705
1.44e-07	7.16135	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8058	14.8058	14.8093	14.808	14.8033	14.7865	14.7489	8.20928	6.86114	6.38362	6.18253	6.11351	6.134	6.23579	6.42906	6.74215	7.23224	8.01343	9.32694	11.7308	16.6577	27.7887	46.6335	41.4374	23.1265	14.3517	10.5789	8.80568	7.93163	7.53148	7.42609	7.53582	7.8214	8.24724	8.73825	9.12424	9.13047	8.5459	7.48042	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44218	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03736	2.76171	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979619	0.965117	0.95799	0.954028	0.94874	0.937776	0.917676	0.886846	0.846245	0.799189	0.750084	0.702633	0.659145	0.622575	0.595355	0.577171	0.566147	0.559867	0.555768	0.551316	0.544165	0.532442	0.515128	0.492391	0.465665	0.437321	0.410027	0.386051	0.366802	0.352704
1.6e-07	7.16135	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8058	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86114	6.38362	6.18253	6.11351	6.134	6.23579	6.42906	6.74215	7.23224	8.01343	9.32694	11.7308	16.6577	27.7887	46.6335	41.4374	23.1265	14.3517	10.5789	8.80568	7.93163	7.53148	7.42609	7.53582	7.8214	8.24724	8.73825	9.12424	9.13047	8.5459	7.48042	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44218	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03736	2.76171	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965117	0.95799	0.954027	0.94874	0.937776	0.917676	0.886846	0.846245	0.799189	0.750084	0.702633	0.659145	0.622575	0.595355	0.577171	0.566147	0.559866	0.555768	0.551316	0.544165	0.532442	0.515128	0.492391	0.465665	0.437321	0.410027	0.386051	0.366802	0.352704
1.76e-07	7.16135	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8058	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86114	6.38362	6.18253	6.11351	6.13399	6.23579	6.42906	6.74215	7.23224	8.01343	9.32694	11.7308	16.6577	27.7887	46.6335	41.4374	23.1265	14.3517	10.5789	8.80568	7.93163	7.53148	7.42609	7.53582	7.8214	8.24723	8.73825	9.12424	9.13047	8.5459	7.48042	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44218	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03735	2.76171	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965117	0.95799	0.954027	0.94874	0.937776	0.917676	0.886846	0.846245	0.799189	0.750083	0.702633	0.659145	0.622575	0.595355	0.577171	0.566147	0.559866	0.555768	0.551316	0.544165	0.532442	0.515128	0.492391	0.465665	0.437321	0.410027	0.386051	0.366802	0.352704
1.92e-07	7.16135	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8058	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86114	6.38362	6.18253	6.11351	6.13399	6.23579	6.42906	6.74215	7.23224	8.01343	9.32694	11.7308	16.6577	27.7887	46.6334	41.4374	23.1265	14.3516	10.5789	8.80568	7.93163	7.53148	7.42609	7.53582	7.8214	8.24723	8.73825	9.12424	9.13046	8.5459	7.48042	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44218	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03735	2.76171	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965117	0.95799	0.954027	0.94874	0.937775	0.917676	0.886846	0.846245	0.799189	0.750083	0.702632	0.659145	0.622575	0.595355	0.577171	0.566147	0.559866	0.555768	0.551316	0.544165	0.532442	0.515128	0.492391	0.465665	0.437321	0.410026	0.386051	0.366802	0.352704
2.08e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8058	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86114	6.38362	6.18253	6.11351	6.13399	6.23579	6.42906	6.74215	7.23224	8.01343	9.32693	11.7308	16.6577	27.7887	46.6334	41.4374	23.1265	14.3516	10.5789	8.80568	7.93163	7.53148	7.42609	7.53582	7.8214	8.24723	8.73825	9.12424	9.13046	8.5459	7.48042	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44218	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03735	2.76171	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965117	0.957989	0.954027	0.948739	0.937775	0.917676	0.886846	0.846244	0.799189	0.750083	0.702632	0.659145	0.622575	0.595355	0.577171	0.566147	0.559866	0.555768	0.551316	0.544165	0.532442	0.515128	0.492391	0.465665	0.437321	0.410026	0.386051	0.366802	0.352704
2.24e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8058	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86113	6.38362	6.18253	6.1135	6.13399	6.23579	6.42906	6.74215	7.23224	8.01343	9.32693	11.7308	16.6577	27.7887	46.6334	41.4374	23.1265	14.3516	10.5789	8.80568	7.93163	7.53148	7.42609	7.53581	7.8214	8.24723	8.73825	9.12424	9.13046	8.5459	7.48041	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44218	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03735	2.76171	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965117	0.957989	0.954027	0.948739	0.937775	0.917676	0.886846	0.846244	0.799189	0.750083	0.702632	0.659145	0.622575	0.595355	0.577171	0.566147	0.559866	0.555768	0.551316	0.544165	0.532442	0.515128	0.492391	0.465665	0.437321	0.410026	0.386051	0.366802	0.352704
2.4e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86113	6.38362	6.18253	6.1135	6.13399	6.23579	6.42906	6.74215	7.23223	8.01343	9.32693	11.7308	16.6577	27.7887	46.6334	41.4374	23.1265	14.3516	10.5789	8.80568	7.93163	7.53148	7.42608	7.53581	7.8214	8.24723	8.73825	9.12424	9.13046	8.5459	7.48041	6.29369	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44217	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03735	2.7617	2.48822	2.25082	2.06451	1.92908	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965117	0.957989	0.954027	0.948739	0.937775	0.917676	0.886846	0.846244	0.799188	0.750083	0.702632	0.659145	0.622575	0.595355	0.57717	0.566147	0.559866	0.555768	0.551315	0.544165	0.532442	0.515128	0.492391	0.465665	0.437321	0.410026	0.386051	0.366802	0.352704
2.56e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86113	6.38362	6.18252	6.1135	6.13399	6.23579	6.42906	6.74215	7.23223	8.01343	9.32693	11.7308	16.6577	27.7887	46.6334	41.4374	23.1265	14.3516	10.5789	8.80568	7.93163	7.53148	7.42608	7.53581	7.8214	8.24723	8.73825	9.12424	9.13046	8.5459	7.48041	6.29368	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44217	3.45457	3.48567	3.51147	3.50252	3.4285	3.27099	3.03735	2.7617	2.48822	2.25082	2.06451	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965116	0.957989	0.954027	0.948739	0.937775	0.917676	0.886846	0.846244	0.799188	0.750083	0.702632	0.659145	0.622575	0.595354	0.57717	0.566147	0.559866	0.555768	0.551315	0.544164	0.532442	0.515128	0.492391	0.465665	0.437321	0.410026	0.386051	0.366802	0.352704
2.88e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20928	6.86113	6.38362	6.18252	6.1135	6.13399	6.23578	6.42906	6.74215	7.23223	8.01342	9.32693	11.7308	16.6577	27.7887	46.6334	41.4374	23.1265	14.3516	10.5788	8.80568	7.93163	7.53148	7.42608	7.53581	7.8214	8.24723	8.73825	9.12423	9.13046	8.5459	7.48041	6.29368	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44217	3.45456	3.48566	3.51147	3.50252	3.4285	3.27099	3.03735	2.7617	2.48822	2.25082	2.06451	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979618	0.965116	0.957989	0.954027	0.948739	0.937775	0.917676	0.886846	0.846244	0.799188	0.750083	0.702632	0.659145	0.622575	0.595354	0.57717	0.566147	0.559866	0.555768	0.551315	0.544164	0.532442	0.515128	0.492391	0.465664	0.437321	0.410026	0.386051	0.366802	0.352704
3.2e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20927	6.86113	6.38362	6.18252	6.1135	6.13399	6.23578	6.42905	6.74215	7.23223	8.01342	9.32693	11.7308	16.6577	27.7887	46.6334	41.4373	23.1264	14.3516	10.5788	8.80568	7.93162	7.53147	7.42608	7.53581	7.82139	8.24723	8.73824	9.12423	9.13046	8.54589	7.48041	6.29368	5.27573	4.52931	4.03505	3.73018	3.55538	3.46874	3.44217	3.45456	3.48566	3.51147	3.50252	3.4285	3.27099	3.03735	2.7617	2.48822	2.25082	2.0645	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979617	0.965116	0.957989	0.954026	0.948739	0.937775	0.917675	0.886845	0.846244	0.799188	0.750083	0.702632	0.659144	0.622574	0.595354	0.57717	0.566147	0.559866	0.555767	0.551315	0.544164	0.532442	0.515127	0.492391	0.465664	0.43732	0.410026	0.38605	0.366802	0.352704
3.52e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7865	14.7489	8.20927	6.86113	6.38361	6.18252	6.1135	6.13399	6.23578	6.42905	6.74214	7.23223	8.01342	9.32692	11.7308	16.6577	27.7887	46.6334	41.4373	23.1264	14.3516	10.5788	8.80567	7.93162	7.53147	7.42608	7.53581	7.82139	8.24723	8.73824	9.12423	9.13046	8.54589	7.48041	6.29368	5.27573	4.52931	4.03505	3.73018	3.55538	3.46873	3.44217	3.45456	3.48566	3.51147	3.50251	3.4285	3.27099	3.03735	2.7617	2.48822	2.25082	2.0645	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979617	0.965116	0.957989	0.954026	0.948738	0.937774	0.917675	0.886845	0.846244	0.799188	0.750082	0.702632	0.659144	0.622574	0.595354	0.57717	0.566146	0.559866	0.555767	0.551315	0.544164	0.532442	0.515127	0.49239	0.465664	0.43732	0.410026	0.38605	0.366802	0.352704
3.84e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7489	8.20927	6.86113	6.38361	6.18252	6.1135	6.13399	6.23578	6.42905	6.74214	7.23223	8.01342	9.32692	11.7308	16.6577	27.7886	46.6334	41.4373	23.1264	14.3516	10.5788	8.80567	7.93162	7.53147	7.42608	7.53581	7.82139	8.24722	8.73824	9.12423	9.13045	8.54589	7.48041	6.29368	5.27572	4.5293	4.03504	3.73018	3.55538	3.46873	3.44217	3.45456	3.48566	3.51147	3.50251	3.4285	3.27098	3.03735	2.7617	2.48822	2.25082	2.0645	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979617	0.965116	0.957988	0.954026	0.948738	0.937774	0.917675	0.886845	0.846243	0.799188	0.750082	0.702631	0.659144	0.622574	0.595354	0.57717	0.566146	0.559865	0.555767	0.551315	0.544164	0.532441	0.515127	0.49239	0.465664	0.43732	0.410026	0.38605	0.366802	0.352704
4.16e-07	7.16134	14.8041	14.8045	14.8057	14.8056	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7489	8.20927	6.86113	6.38361	6.18252	6.1135	6.13398	6.23578	6.42905	6.74214	7.23223	8.01342	9.32692	11.7308	16.6577	27.7886	46.6334	41.4373	23.1264	14.3516	10.5788	8.80567	7.93162	7.53147	7.42608	7.53581	7.82139	8.24722	8.73824	9.12423	9.13045	8.54589	7.48041	6.29368	5.27572	4.5293	4.03504	3.73018	3.55538	3.46873	3.44217	3.45456	3.48566	3.51147	3.50251	3.4285	3.27098	3.03735	2.7617	2.48821	2.25082	2.0645	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55762	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979617	0.965115	0.957988	0.954026	0.948738	0.937774	0.917675	0.886845	0.846243	0.799187	0.750082	0.702631	0.659144	0.622574	0.595354	0.57717	0.566146	0.559865	0.555767	0.551315	0.544164	0.532441	0.515127	0.49239	0.465664	0.43732	0.410026	0.38605	0.366801	0.352704
4.48e-07	7.16133	14.8041	14.8045	14.8057	14.8056	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7489	8.20927	6.86112	6.38361	6.18252	6.1135	6.13398	6.23578	6.42905	6.74214	7.23222	8.01342	9.32692	11.7308	16.6577	27.7886	46.6334	41.4373	23.1264	14.3516	10.5788	8.80567	7.93162	7.53147	7.42607	7.5358	7.82139	8.24722	8.73824	9.12422	9.13045	8.54589	7.4804	6.29368	5.27572	4.5293	4.03504	3.73018	3.55537	3.46873	3.44217	3.45456	3.48566	3.51147	3.50251	3.4285	3.27098	3.03735	2.7617	2.48821	2.25082	2.0645	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55761	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979616	0.965115	0.957988	0.954025	0.948738	0.937774	0.917674	0.886844	0.846243	0.799187	0.750082	0.702631	0.659144	0.622574	0.595354	0.577169	0.566146	0.559865	0.555767	0.551315	0.544164	0.532441	0.515127	0.49239	0.465664	0.43732	0.410026	0.38605	0.366801	0.352703
4.8e-07	7.16133	14.804	14.8045	14.8057	14.8056	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7489	8.20926	6.86112	6.38361	6.18252	6.11349	6.13398	6.23578	6.42905	6.74214	7.23222	8.01341	9.32692	11.7308	16.6576	27.7886	46.6334	41.4373	23.1264	14.3516	10.5788	8.80567	7.93162	7.53147	7.42607	7.5358	7.82139	8.24722	8.73823	9.12422	9.13045	8.54589	7.4804	6.29368	5.27572	4.5293	4.03504	3.73018	3.55537	3.46873	3.44217	3.45456	3.48566	3.51147	3.50251	3.4285	3.27098	3.03735	2.7617	2.48821	2.25082	2.0645	1.92907	1.83705	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55761	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00517	0.979616	0.965115	0.957988	0.954025	0.948738	0.937773	0.917674	0.886844	0.846243	0.799187	0.750082	0.702631	0.659144	0.622574	0.595353	0.577169	0.566146	0.559865	0.555767	0.551314	0.544163	0.532441	0.515127	0.49239	0.465664	0.43732	0.410025	0.38605	0.366801	0.352703
5.12e-07	7.16133	14.804	14.8045	14.8057	14.8056	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7489	8.20926	6.86112	6.38361	6.18251	6.11349	6.13398	6.23578	6.42905	6.74214	7.23222	8.01341	9.32691	11.7308	16.6576	27.7886	46.6333	41.4373	23.1264	14.3516	10.5788	8.80567	7.93162	7.53147	7.42607	7.5358	7.82139	8.24722	8.73823	9.12422	9.13045	8.54588	7.4804	6.29368	5.27572	4.5293	4.03504	3.73017	3.55537	3.46873	3.44217	3.45456	3.48566	3.51147	3.50251	3.4285	3.27098	3.03735	2.7617	2.48821	2.25082	2.0645	1.92907	1.83704	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68664	1.63445	1.55761	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00516	0.979616	0.965115	0.957987	0.954025	0.948737	0.937773	0.917674	0.886844	0.846243	0.799187	0.750082	0.702631	0.659143	0.622574	0.595353	0.577169	0.566146	0.559865	0.555767	0.551314	0.544163	0.532441	0.515127	0.49239	0.465664	0.43732	0.410025	0.38605	0.366801	0.352703
5.76e-07	7.16133	14.804	14.8045	14.8057	14.8056	14.8055	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7489	8.20926	6.86112	6.3836	6.18251	6.11349	6.13398	6.23577	6.42904	6.74213	7.23222	8.01341	9.32691	11.7308	16.6576	27.7886	46.6333	41.4373	23.1264	14.3516	10.5788	8.80566	7.93161	7.53146	7.42607	7.5358	7.82138	8.24721	8.73823	9.12422	9.13044	8.54588	7.4804	6.29367	5.27572	4.5293	4.03504	3.73017	3.55537	3.46873	3.44217	3.45456	3.48566	3.51146	3.50251	3.42849	3.27098	3.03735	2.7617	2.48821	2.25082	2.0645	1.92907	1.83704	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68663	1.63445	1.55761	1.46219	1.35905	1.25957	1.17189	1.09996	1.04465	1.00516	0.979616	0.965114	0.957987	0.954025	0.948737	0.937773	0.917674	0.886844	0.846242	0.799186	0.750081	0.70263	0.659143	0.622573	0.595353	0.577169	0.566145	0.559865	0.555766	0.551314	0.544163	0.532441	0.515126	0.49239	0.465663	0.437319	0.410025	0.38605	0.366801	0.352703
6.4e-07	7.16133	14.804	14.8045	14.8057	14.8056	14.8055	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7488	8.20926	6.86111	6.3836	6.18251	6.11349	6.13397	6.23577	6.42904	6.74213	7.23221	8.0134	9.32691	11.7308	16.6576	27.7886	46.6333	41.4373	23.1264	14.3516	10.5788	8.80566	7.93161	7.53146	7.42607	7.5358	7.82138	8.24721	8.73823	9.12421	9.13044	8.54588	7.4804	6.29367	5.27572	4.5293	4.03504	3.73017	3.55537	3.46873	3.44217	3.45456	3.48566	3.51146	3.50251	3.42849	3.27098	3.03735	2.7617	2.48821	2.25082	2.0645	1.92907	1.83704	1.77931	1.74732	1.73319	1.72898	1.72607	1.71502	1.68663	1.63444	1.55761	1.46219	1.35905	1.25956	1.17189	1.09996	1.04465	1.00516	0.979615	0.965114	0.957987	0.954024	0.948736	0.937772	0.917673	0.886843	0.846242	0.799186	0.750081	0.70263	0.659143	0.622573	0.595353	0.577169	0.566145	0.559864	0.555766	0.551314	0.544163	0.53244	0.515126	0.492389	0.465663	0.437319	0.410025	0.386049	0.366801	0.352703
7.04e-07	7.16132	14.804	14.8045	14.8056	14.8056	14.8055	14.8055	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8056	14.8057	14.8057	14.8093	14.8079	14.8033	14.7864	14.7488	8.20925	6.86111	6.3836	6.18251	6.11348	6.13397	6.23577	6.42904	6.74213	7.23221	8.0134	9.3269	11.7308	16.6576	27.7886	46.6333	41.4372	23.1264	14.3516	10.5788	8.80565	7.93161	7.53146	7.42606	7.53579	7.82138	8.24721	8.73822	9.12421	9.13044	8.54587	7.48039	6.29367	5.27571	4.5293	4.03504	3.73017	3.55537	3.46873	3.44216	3.45456	3.48566	3.51146	3.50251	3.42849	3.27098	3.03735	2.7617	2.48821	2.25082	2.0645	1.92907	1.83704	1.77931	1.74732	1.73318	1.72898	1.72607	1.71502	1.68663	1.63444	1.55761	1.46219	1.35905	1.25956	1.17189	1.09996	1.04465	1.00516	0.979615	0.965113	0.957986	0.954024	0.948736	0.937772	0.917673	0.886843	0.846241	0.799186	0.75008	0.70263	0.659142	0.622573	0.595352	0.577168	0.566145	0.559864	0.555766	0.551313	0.544162	0.53244	0.515126	0.492389	0.465663	0.437319	0.410025	0.386049	0.3668	0.352703
